initialorder	side	order	BigCriteria	criteria	choice	objecttype	weightwithincriteria	BigCriteria_en	criteria_en	choice_en	BigCriteria_fr	criteria_fr	choice_fr	BigCriteria_it	criteria_it	choice_it	BigCriteria_nl	criteria_nl	choice_nl	BigCriteria_de	criteria_de	choice_de	BigCriteria_es	criteria_es	choice_es	BigCriteria_cz	criteria_cz	choice_cz	BigCriteria_fr	criteria_fr	choice_fr	BigCriteria_it	criteria_it	choice_it	BigCriteria_nl	criteria_nl	choice_nl	BigCriteria_de	criteria_de	choice_de	BigCriteria_es	criteria_es	choice_es	BigCriteria_cz	criteria_cz	choice_cz	BigCriteria_fi	criteria_fi	choice_fi
NA	effecttrait	NA	Productivity	Main.products	Speciality products	selectInput	NA	Productivity	Main products	Speciality products	Productivité	Principaux produits	Produits spécialisés	Produttività	Prodotti principali	Prodotti speciali	Productiviteit	Belangrijkste producten	Speciale producten	Produktivität	Wichtigste Produkte	Spezielle Produkte	Productividad	Principales productos	Productos especiales	Produktivita	Hlavní produkty	Speciální produkty	Productivité	Principaux produits	Produits spécialisés	Produttività	Prodotti principali	Prodotti speciali	Productiviteit	Belangrijkste producten	Speciale producten	Produktivität	Wichtigste Produkte	Spezielle Produkte	Productividad	Principales productos	Productos especiales	Produktivita	Hlavní produkty	Speciální produkty	Tuottavuus	Tärkeimmät tuotteet	Erikoistuotteet
NA	effecttrait	NA	Productivity	Livestock.fodder	Livestock.fodder	checkboxInput	NA	Productivity	Livestock fodder	Livestock fodder	Productivité	Fourrage pour le bétail	Fourrage pour le bétail	Produttività	Foraggio per il bestiame	Foraggio per il bestiame	Productiviteit	Veevoer	Veevoer	Produktivität	Futter für das Vieh	Futter für das Vieh	Productividad	Forraje para el ganado	Forraje para el ganado	Produktivita	Krmivo pro hospodářská zvířata	Krmivo pro hospodářská zvířata	Productivité	Fourrage pour le bétail	Fourrage pour le bétail	Produttività	Foraggio per il bestiame	Foraggio per il bestiame	Productiviteit	Veevoer	Veevoer	Produktivität	Futter für das Vieh	Futter für das Vieh	Productividad	Forraje para el ganado	Forraje para el ganado	Produktivita	Krmivo pro hospodářská zvířata	Krmivo pro hospodářská zvířata	Tuottavuus	Karjan rehu	Karjan rehu
NA	effecttrait	NA	Productivity	Max.size.of.shadow	Low	selectInput	NA	Productivity	Maximum size of shadow	Low	Productivité	Taille maximale de l'ombre	Faible	Produttività	Dimensione massima dell'ombra	Basso	Productiviteit	Maximale grootte van schaduw	Laag	Produktivität	Maximale Größe des Schattens	Gering	Productividad	Tamaño máximo de la sombra	Bajo	Produktivita	Maximální velikost stínu	Nízký	Productivité	Taille maximale de l'ombre	Faible	Produttività	Dimensione massima dell'ombra	Basso	Productiviteit	Maximale grootte van schaduw	Laag	Produktivität	Maximale Größe des Schattens	Gering	Productividad	Tamaño máximo de la sombra	Bajo	Produktivita	Maximální velikost stínu	Nízký	Tuottavuus	Varjon enimmäiskoko	Matala
NA	effecttrait	NA	Productivity	Max.size.of.shadow	Moderate	selectInput	NA	Productivity	Maximum size of shadow	Moderate	Productivité	Taille maximale de l'ombre	Modéré	Produttività	Dimensione massima dell'ombra	Moderato	Productiviteit	Maximale grootte van schaduw	Matig	Produktivität	Maximale Größe des Schattens	Mäßig	Productividad	Tamaño máximo de la sombra	Moderado	Produktivita	Maximální velikost stínu	Mírná	Productivité	Taille maximale de l'ombre	Modéré	Produttività	Dimensione massima dell'ombra	Moderato	Productiviteit	Maximale grootte van schaduw	Matig	Produktivität	Maximale Größe des Schattens	Mäßig	Productividad	Tamaño máximo de la sombra	Moderado	Produktivita	Maximální velikost stínu	Mírná	Tuottavuus	Varjon enimmäiskoko	Kohtalainen
NA	effecttrait	NA	Productivity	Max.size.of.shadow	High	selectInput	NA	Productivity	Maximum size of shadow	High	Productivité	Taille maximale de l'ombre	Élevée	Produttività	Dimensione massima dell'ombra	Alta	Productiviteit	Maximale grootte van schaduw	Hoog	Produktivität	Maximale Größe des Schattens	Hoch	Productividad	Tamaño máximo de la sombra	Alta	Produktivita	Maximální velikost stínu	Vysoká	Productivité	Taille maximale de l'ombre	Élevée	Produttività	Dimensione massima dell'ombra	Alta	Productiviteit	Maximale grootte van schaduw	Hoog	Produktivität	Maximale Größe des Schattens	Hoch	Productividad	Tamaño máximo de la sombra	Alta	Produktivita	Maximální velikost stínu	Vysoká	Tuottavuus	Varjon enimmäiskoko	Korkea
NA	effecttrait	NA	Productivity	Leaf.emergence.time	Early (Apr to Nov)	selectInput	NA	Productivity	Leaf emergence time	Early (Apr to Nov)	Productivité	Période d'émergence des feuilles	Début (avril à novembre)	Produttività	Tempo di emergenza delle foglie	Precoce (da aprile a novembre)	Productiviteit	Tijd tot bladopkomst	Vroeg (apr tot nov)	Produktivität	Zeitpunkt des Blattaustriebs	Früh (Apr bis Nov)	Productividad	Época de emergencia de las hojas	Temprano (de abril a noviembre)	Produktivita	Doba rašení listů	Raná (duben až listopad)	Productivité	Période d'émergence des feuilles	Début (avril à novembre)	Produttività	Tempo di emergenza delle foglie	Precoce (da aprile a novembre)	Productiviteit	Tijd tot bladopkomst	Vroeg (apr tot nov)	Produktivität	Zeitpunkt des Blattaustriebs	Früh (Apr bis Nov)	Productividad	Época de emergencia de las hojas	Temprano (de abril a noviembre)	Produktivita	Doba rašení listů	Raná (duben až listopad)	Tuottavuus	Lehtien puhkeamisaika	Varhainen (huhtikuusta marraskuuhun)
NA	effecttrait	NA	Productivity	Leaf.emergence.time	Late (May to Nov)	selectInput	NA	Productivity	Leaf emergence time	Late (May to Nov)	Productivité	Période d'émergence des feuilles	Tardive (mai à nov)	Produttività	Tempo di emergenza delle foglie	Tardivo (da maggio a novembre)	Productiviteit	Tijd tot bladopkomst	Laat (mei tot nov)	Produktivität	Zeitpunkt des Blattaustriebs	Spät (Mai bis Nov.)	Productividad	Época de emergencia de las hojas	Tardía (de mayo a noviembre)	Produktivita	Doba rašení listů	Pozdní (květen až listopad)	Productivité	Période d'émergence des feuilles	Tardive (mai à nov)	Produttività	Tempo di emergenza delle foglie	Tardivo (da maggio a novembre)	Productiviteit	Tijd tot bladopkomst	Laat (mei tot nov)	Produktivität	Zeitpunkt des Blattaustriebs	Spät (Mai bis Nov.)	Productividad	Época de emergencia de las hojas	Tardía (de mayo a noviembre)	Produktivita	Doba rašení listů	Pozdní (květen až listopad)	Tuottavuus	Lehtien puhkeamisaika	Myöhäinen (toukokuusta marraskuuhun)
NA	effecttrait	NA	Productivity	Leaf.emergence.time	Evergreen	selectInput	NA	Productivity	Leaf emergence time	Evergreen	Productivité	Période d'émergence des feuilles	Feuillage persistant	Produttività	Tempo di emergenza delle foglie	Sempreverde	Productiviteit	Tijd tot bladopkomst	Wintergroen	Produktivität	Zeitpunkt des Blattaustriebs	Immergrün	Productividad	Época de emergencia de las hojas	Perenne	Produktivita	Doba rašení listů	Stálezelený	Productivité	Période d'émergence des feuilles	Feuillage persistant	Produttività	Tempo di emergenza delle foglie	Sempreverde	Productiviteit	Tijd tot bladopkomst	Wintergroen	Produktivität	Zeitpunkt des Blattaustriebs	Immergrün	Productividad	Época de emergencia de las hojas	Perenne	Produktivita	Doba rašení listů	Stálezelený	Tuottavuus	Lehtien puhkeamisaika	Ikivihreä
NA	effecttrait	NA	Productivity	Avoid.suckering.roots	Avoid.suckering.roots	checkboxInput	NA	Productivity	Avoid suckering roots	Avoid suckering roots	Productivité	Éviter les racines drageonnantes	Éviter les racines drageonnantes	Produttività	Evita le radici pollonanti	Evita le radici pollonanti	Productiviteit	Vermijd zuigende wortels	Vermijd zuigende wortels	Produktivität	Vermeidung von Saugwurzeln	Vermeidung von Saugwurzeln	Productividad	Evita las raíces chupadoras	Evita las raíces chupadoras	Produktivita	Vyhnout se přísušku kořenů	Vyhnout se přísušku kořenů	Productivité	Éviter les racines drageonnantes	Éviter les racines drageonnantes	Produttività	Evita le radici pollonanti	Evita le radici pollonanti	Productiviteit	Vermijd zuigende wortels	Vermijd zuigende wortels	Produktivität	Vermeidung von Saugwurzeln	Vermeidung von Saugwurzeln	Productividad	Evita las raíces chupadoras	Evita las raíces chupadoras	Produktivita	Vyhnout se přísušku kořenů	Vyhnout se přísušku kořenů	Tuottavuus	Vältä imeviä juuria	Vältä imeviä juuria
NA	effecttrait	NA	Productivity	Fast.growth	Fast.growth	checkboxInput	NA	Productivity	Fast growth	Fast growth	Productivité	Croissance rapide	Croissance rapide	Produttività	Crescita rapida	Crescita rapida	Productiviteit	Snelle groei	Snelle groei	Produktivität	Schnelles Wachstum	Schnelles Wachstum	Productividad	Crecimiento rápido	Crecimiento rápido	Produktivita	Rychlý růst	Rychlý růst	Productivité	Croissance rapide	Croissance rapide	Produttività	Crescita rapida	Crescita rapida	Productiviteit	Snelle groei	Snelle groei	Produktivität	Schnelles Wachstum	Schnelles Wachstum	Productividad	Crecimiento rápido	Crecimiento rápido	Produktivita	Rychlý růst	Rychlý růst	Tuottavuus	Nopea kasvu	Nopea kasvu
NA	effecttrait	NA	Productivity	Coppice	Coppice	checkboxInput	NA	Productivity	Can be coppiced	Can be coppiced	Productivité	Peut être taillé en taillis	Peut être taillé en taillis	Produttività	Può essere ceduato	Può essere ceduato	Productiviteit	Kan worden geknot	Kan worden geknot	Produktivität	Kann gekappt werden	Kann gekappt werden	Productividad	Se puede talar	Se puede talar	Produktivita	Lze odnožovat	Lze odnožovat	Productivité	Peut être taillé en taillis	Peut être taillé en taillis	Produttività	Può essere ceduato	Può essere ceduato	Productiviteit	Kan worden geknot	Kan worden geknot	Produktivität	Kann gekappt werden	Kann gekappt werden	Productividad	Se puede talar	Se puede talar	Produktivita	Lze odnožovat	Lze odnožovat	Tuottavuus	Voidaan hakata	Voidaan hakata
NA	effecttrait	NA	Productivity	Pollard	Pollard	checkboxInput	NA	Productivity	Can be pollarded	Can be pollarded	Productivité	Peut être taillé en têtard	Peut être taillé en têtard	Produttività	Può essere impollinato	Può essere impollinato	Productiviteit	Kan worden geknot	Kan worden geknot	Produktivität	Kann bestäubt werden	Kann bestäubt werden	Productividad	Se puede desmochar	Se puede desmochar	Produktivita	Lze opylovat	Lze opylovat	Productivité	Peut être taillé en têtard	Peut être taillé en têtard	Produttività	Può essere impollinato	Può essere impollinato	Productiviteit	Kan worden geknot	Kan worden geknot	Produktivität	Kann bestäubt werden	Kann bestäubt werden	Productividad	Se puede desmochar	Se puede desmochar	Produktivita	Lze opylovat	Lze opylovat	Tuottavuus	Voidaan pölyttää	Voidaan pölyttää
NA	effecttrait	NA	Productivity	Nutrient.OM.accumulation	Nutrient.OM.accumulation	checkboxInput	NA	Productivity	High accumuation of nutrients and organic matter (caution: associated with larger trees)	High accumuation of nutrients and organic matter (caution: associated with larger trees)	Productivité	Accumulation importante de nutriments et de matière organique (attention : associée aux arbres plus grands)	Accumulation importante de nutriments et de matière organique (attention : associée aux arbres plus grands)	Produttività	Elevato accumulo di nutrienti e materia organica (attenzione: associato ad alberi di grandi dimensioni)	Elevato accumulo di nutrienti e materia organica (attenzione: associato ad alberi di grandi dimensioni)	Productiviteit	Hoge accumulatie van voedingsstoffen en organisch materiaal (let op: geassocieerd met grotere bomen)	Hoge accumulatie van voedingsstoffen en organisch materiaal (let op: geassocieerd met grotere bomen)	Produktivität	Hohe Akkumulation von Nährstoffen und organischen Stoffen (Vorsicht: bei größeren Bäumen)	Hohe Akkumulation von Nährstoffen und organischen Stoffen (Vorsicht: bei größeren Bäumen)	Productividad	Gran acumulación de nutrientes y materia orgánica (precaución: asociada a árboles grandes)	Gran acumulación de nutrientes y materia orgánica (precaución: asociada a árboles grandes)	Produktivita	Vysoká akumulace živin a organické hmoty (pozor: spojeno s většími stromy)	Vysoká akumulace živin a organické hmoty (pozor: spojeno s většími stromy)	Productivité	Accumulation importante de nutriments et de matière organique (attention : associée aux arbres plus grands)	Accumulation importante de nutriments et de matière organique (attention : associée aux arbres plus grands)	Produttività	Elevato accumulo di nutrienti e materia organica (attenzione: associato ad alberi di grandi dimensioni)	Elevato accumulo di nutrienti e materia organica (attenzione: associato ad alberi di grandi dimensioni)	Productiviteit	Hoge accumulatie van voedingsstoffen en organisch materiaal (let op: geassocieerd met grotere bomen)	Hoge accumulatie van voedingsstoffen en organisch materiaal (let op: geassocieerd met grotere bomen)	Produktivität	Hohe Akkumulation von Nährstoffen und organischen Stoffen (Vorsicht: bei größeren Bäumen)	Hohe Akkumulation von Nährstoffen und organischen Stoffen (Vorsicht: bei größeren Bäumen)	Productividad	Gran acumulación de nutrientes y materia orgánica (precaución: asociada a árboles grandes)	Gran acumulación de nutrientes y materia orgánica (precaución: asociada a árboles grandes)	Produktivita	Vysoká akumulace živin a organické hmoty (pozor: spojeno s většími stromy)	Vysoká akumulace živin a organické hmoty (pozor: spojeno s většími stromy)	Tuottavuus	Runsaasti ravinteita ja orgaanista ainesta (varoitus: liittyy suurempiin puihin).	Runsaasti ravinteita ja orgaanista ainesta (varoitus: liittyy suurempiin puihin).
NA	effecttrait	NA	Productivity	Nitrogen.fixation	Nitrogen.fixation	checkboxInput	NA	Productivity	Nitrogen fixation	Nitrogen fixation	Productivité	Fixation de l'azote	Fixation de l'azote	Produttività	Fissazione dell'azoto	Fissazione dell'azoto	Productiviteit	Stikstof fixatie	Stikstof fixatie	Produktivität	Stickstofffixierung	Stickstofffixierung	Productividad	Fijación de nitrógeno	Fijación de nitrógeno	Produktivita	Fixace dusíku	Fixace dusíku	Productivité	Fixation de l'azote	Fixation de l'azote	Produttività	Fissazione dell'azoto	Fissazione dell'azoto	Productiviteit	Stikstof fixatie	Stikstof fixatie	Produktivität	Stickstofffixierung	Stickstofffixierung	Productividad	Fijación de nitrógeno	Fijación de nitrógeno	Produktivita	Fixace dusíku	Fixace dusíku	Tuottavuus	Typen sidonta	Typen sidonta
NA	effecttrait	NA	Productivity	Minimise.acidification	Minimise.acidification	checkboxInput	NA	Productivity	Minimise acidification	Minimise acidification	Productivité	Minimise l'acidification	Minimise l'acidification	Produttività	Minimizza l'acidificazione	Minimizza l'acidificazione	Productiviteit	Minimaliseren van verzuring	Minimaliseren van verzuring	Produktivität	Minimierung der Versauerung	Minimierung der Versauerung	Productividad	Minimiza la acidificación	Minimiza la acidificación	Produktivita	Minimalizují okyselování	Minimalizují okyselování	Productivité	Minimise l'acidification	Minimise l'acidification	Produttività	Minimizza l'acidificazione	Minimizza l'acidificazione	Productiviteit	Minimaliseren van verzuring	Minimaliseren van verzuring	Produktivität	Minimierung der Versauerung	Minimierung der Versauerung	Productividad	Minimiza la acidificación	Minimiza la acidificación	Produktivita	Minimalizují okyselování	Minimalizují okyselování	Tuottavuus	Vähentää happamoitumista	Vähentää happamoitumista
NA	effecttrait	NA	Environmental	Carbon.sequestration	109	sliderInput	NA	Environmental	Carbon sequestration over 20 yrs	NA	Environnement	Séquestration du carbone sur 20 ans	NA	Ambiente	Sequestro di carbonio per 20 anni	NA	Milieu	Koolstofvastlegging over 20 jaar	NA	Umwelt	Kohlenstoffspeicherung über 20 Jahre	NA	Medio ambiente	Captura de carbono durante 20 años	NA	Životní prostředí	Sekvestrace uhlíku po dobu 20 let	NA	Environnement	Séquestration du carbone sur 20 ans	NA	Ambiente	Sequestro di carbonio per 20 anni	NA	Milieu	Koolstofvastlegging over 20 jaar	NA	Umwelt	Kohlenstoffspeicherung über 20 Jahre	NA	Medio ambiente	Captura de carbono durante 20 años	NA	Životní prostředí	Sekvestrace uhlíku po dobu 20 let	NA	Ympäristö	Hiilen sitominen 20 vuoden aikana	NA
NA	effecttrait	NA	Environmental	Carbon.sequestration	442	sliderInput	NA	Environmental	Carbon sequestration over 20 yrs	NA	Environnement	Séquestration du carbone sur 20 ans	NA	Ambiente	Sequestro di carbonio per 20 anni	NA	Milieu	Koolstofvastlegging over 20 jaar	NA	Umwelt	Kohlenstoffspeicherung über 20 Jahre	NA	Medio ambiente	Captura de carbono durante 20 años	NA	Životní prostředí	Sekvestrace uhlíku po dobu 20 let	NA	Environnement	Séquestration du carbone sur 20 ans	NA	Ambiente	Sequestro di carbonio per 20 anni	NA	Milieu	Koolstofvastlegging over 20 jaar	NA	Umwelt	Kohlenstoffspeicherung über 20 Jahre	NA	Medio ambiente	Captura de carbono durante 20 años	NA	Životní prostředí	Sekvestrace uhlíku po dobu 20 let	NA	Ympäristö	Hiilen sitominen 20 vuoden aikana	NA
NA	effecttrait	NA	Environmental	Native.status	Native.status	checkboxInput	NA	Environmental	Native status	Native status	Environnement	Statut indigène	Statut indigène	Ambiente	Stato di autoctonia	Stato di autoctonia	Milieu	Inheemse status	Inheemse status	Umwelt	Einheimischer Status	Einheimischer Status	Medio ambiente	Estado autóctono	Estado autóctono	Životní prostředí	Původní stav	Původní stav	Environnement	Statut indigène	Statut indigène	Ambiente	Stato di autoctonia	Stato di autoctonia	Milieu	Inheemse status	Inheemse status	Umwelt	Einheimischer Status	Einheimischer Status	Medio ambiente	Estado autóctono	Estado autóctono	Životní prostředí	Původní stav	Původní stav	Ympäristö	Kotoperäinen asema	Kotoperäinen asema
NA	effecttrait	NA	Environmental	Wildlife.value	2.111111111	sliderInput	NA	Environmental	Wildlife value score	NA	Environnement	Valeur pour la faune et la flore	NA	Ambiente	Punteggio di valore per la fauna selvatica	NA	Milieu	Wildlife waarde score	NA	Umwelt	Wert für Wildtiere	NA	Medio ambiente	Valoración de la fauna	NA	Životní prostředí	Hodnota pro volně žijící živočichy	NA	Environnement	Valeur pour la faune et la flore	NA	Ambiente	Punteggio di valore per la fauna selvatica	NA	Milieu	Wildlife waarde score	NA	Umwelt	Wert für Wildtiere	NA	Medio ambiente	Valoración de la fauna	NA	Životní prostředí	Hodnota pro volně žijící živočichy	NA	Ympäristö	Villieläinten arvoa kuvaava pistemäärä	NA
NA	effecttrait	NA	Environmental	Wildlife.value	4.333333333	sliderInput	NA	Environmental	Wildlife value score	NA	Environnement	Valeur pour la faune et la flore	NA	Ambiente	Punteggio di valore per la fauna selvatica	NA	Milieu	Wildlife waarde score	NA	Umwelt	Wert für Wildtiere	NA	Medio ambiente	Valoración de la fauna	NA	Životní prostředí	Hodnota pro volně žijící živočichy	NA	Environnement	Valeur pour la faune et la flore	NA	Ambiente	Punteggio di valore per la fauna selvatica	NA	Milieu	Wildlife waarde score	NA	Umwelt	Wert für Wildtiere	NA	Medio ambiente	Valoración de la fauna	NA	Životní prostředí	Hodnota pro volně žijící živočichy	NA	Ympäristö	Villieläinten arvoa kuvaava pistemäärä	NA
